what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1334531209301
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334531209301
java.specification.version,sysinfo,,,"1.6",1334531209301
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1334531209301
java.version,sysinfo,,,"1.6.0_20",1334531209301
java.vm.info,sysinfo,,,"mixed mode, sharing",1334531209301
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1334531209301
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1334531209301
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334531209301
java.vm.specification.version,sysinfo,,,"1.0",1334531209301
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1334531209301
java.vm.version,sysinfo,,,"16.3-b01",1334531209301
started,bundle,com.aptana.debug.core,3.0.3.1321680133,"com.aptana.debug.core",1334531209504
started,bundle,com.aptana.js.debug.core,3.0.3.1323811743,"com.aptana.js.debug.core",1334531209504
started,bundle,com.aptana.js.debug.ui,3.0.0.1313451701,"com.aptana.js.debug.ui",1334531209504
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1334531209722
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1334531209722
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1334531210596
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1334531211173
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1334531212031
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1334531212250
started,bundle,org.eclipse.birt.report.debug.ui,2.5.2.v20100127,"org.eclipse.birt.report.debug.ui",1334531212281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1334531215604
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1334531217725
